----------------------------------------------------
       Curve Parameters       | Order | Generator  
  a = 80   b = 81   p = 101   | 96    | Not Cyclic 
  a = 81   b = 81   p = 101   | 92    |  (0, 92)   
  a = 82   b = 81   p = 101   | 108   |  (0, 92)   
  a = 83   b = 81   p = 101   | 97    |  (0, 92)   
  a = 84   b = 81   p = 101   | 117   |  (0, 92)   
  a = 85   b = 81   p = 101   | 114   |  (0, 92)   
  a = 86   b = 81   p = 101   | 94    |  (0, 92)   
  a = 87   b = 81   p = 101   | 90    |  (0, 92)   
  a = 88   b = 81   p = 101   | 98    |  (0, 92)   
  a = 89   b = 81   p = 101   | 102   |  (11, 88)  
  a = 90   b = 81   p = 101   | 96    | Not Cyclic 
  a = 91   b = 81   p = 101   | 95    |  (3, 52)   
  a = 92   b = 81   p = 101   | 84    | Not Cyclic 
  a = 93   b = 81   p = 101   | 114   |  (6, 42)   
  a = 94   b = 81   p = 101   | 100   |  (3, 84)   
  a = 95   b = 81   p = 101   | 102   |  (2, 28)   
  a = 96   b = 81   p = 101   | 112   |  (1, 28)   
  a = 97   b = 81   p = 101   | 116   |  (0, 92)   
  a = 98   b = 81   p = 101   | 105   |  (0, 92)   
  a = 99   b = 81   p = 101   | 102   |  (0, 92)   
  a = 100  b = 81   p = 101   | 104   |  (0, 92)   
  a = 0    b = 82   p = 101   | 102   |  (5, 56)   
  a = 1    b = 82   p = 101   | 102   |  (25, 28)  
  a = 2    b = 82   p = 101   | 102   |  (1, 40)   
  a = 3    b = 82   p = 101   | 97    |  (0, 53)   
  a = 4    b = 82   p = 101   | 108   | Not Cyclic 
  a = 5    b = 82   p = 101   | 120   |  (2, 91)   
  a = 6    b = 82   p = 101   | 100   | Not Cyclic 
  a = 7    b = 82   p = 101   | 103   |  (0, 53)   
  a = 8    b = 82   p = 101   | 109   |  (0, 53)   
  a = 9    b = 82   p = 101   | 108   |  (4, 92)   
  a = 10   b = 82   p = 101   | 118   |  (2, 98)   
  a = 11   b = 82   p = 101   | 107   |  (0, 53)   
  a = 12   b = 82   p = 101   | 88    | Not Cyclic 
  a = 13   b = 82   p = 101   | 112   | Not Cyclic 
  a = 14   b = 82   p = 101   | 102   |  (1, 81)   
  a = 15   b = 82   p = 101   | 84    | Not Cyclic 
  a = 16   b = 82   p = 101   | 86    |  (2, 18)   
  a = 17   b = 82   p = 101   | 104   |  (0, 53)   
  a = 18   b = 82   p = 101   | 100   |  (4, 97)   
  a = 19   b = 82   p = 101   | 98    |  (0, 53)   
  a = 20   b = 82   p = 101   | 108   |  (0, 53)   
  a = 21   b = 82   p = 101   | 110   |  (0, 53)   
  a = 22   b = 82   p = 101   | 100   | Not Cyclic 
  a = 23   b = 82   p = 101   | 117   |  (1, 56)   
  a = 24   b = 82   p = 101   | 119   |  (0, 53)   
  a = 25   b = 82   p = 101   | 112   |  (10, 25)  
  a = 26   b = 82   p = 101   | 106   |  (8, 87)   
  a = 27   b = 82   p = 101   | 110   |  (2, 12)   
  a = 28   b = 82   p = 101   | 96    |  (3, 71)   
  a = 29   b = 82   p = 101   | 114   |  (2, 42)   
  a = 30   b = 82   p = 101   | 103   |  (0, 53)   
  a = 31   b = 82   p = 101   | 112   |  (0, 53)   
  a = 32   b = 82   p = 101   | 97    |  (0, 53)   
  a = 33   b = 82   p = 101   | 99    |  (4, 51)   
  a = 34   b = 82   p = 101   | 102   |  (0, 53)   
  a = 35   b = 82   p = 101   | 114   |  (21, 68)  
  a = 36   b = 82   p = 101   | 90    |  (0, 53)   
  a = 37   b = 82   p = 101   | 92    |  (0, 53)   
  a = 38   b = 82   p = 101   | 120   |  (1, 90)   
  a = 39   b = 82   p = 101   | 93    |  (1, 18)   
  a = 40   b = 82   p = 101   | 113   |  (0, 53)   
  a = 41   b = 82   p = 101   | 105   |  (0, 53)   
  a = 42   b = 82   p = 101   | 84    |  (8, 18)   
  a = 43   b = 82   p = 101   | 83    |  (0, 53)   
  a = 44   b = 82   p = 101   | 96    | Not Cyclic 
  a = 45   b = 82   p = 101   | 104   |  (2, 68)   
  a = 46   b = 82   p = 101   | 104   |  (0, 53)   
  a = 47   b = 82   p = 101   | 89    |  (0, 53)   
  a = 48   b = 82   p = 101   | 116   |  (0, 53)   
  a = 49   b = 82   p = 101   | 117   |  (0, 53)   
  a = 51   b = 82   p = 101   | 105   |  (0, 53)   
  a = 52   b = 82   p = 101   | 84    | Not Cyclic 
  a = 53   b = 82   p = 101   | 94    |  (0, 53)   
  a = 54   b = 82   p = 101   | 96    | Not Cyclic 
  a = 55   b = 82   p = 101   | 90    |  (6, 27)   
  a = 56   b = 82   p = 101   | 104   |  (0, 53)   
  a = 57   b = 82   p = 101   | 92    |  (3, 52)   
  a = 58   b = 82   p = 101   | 116   |  (0, 53)   
  a = 59   b = 82   p = 101   | 111   |  (0, 53)   
  a = 60   b = 82   p = 101   | 117   |  (3, 84)   
  a = 61   b = 82   p = 101   | 114   |  (0, 53)   
  a = 62   b = 82   p = 101   | 93    |  (0, 53)   
  a = 63   b = 82   p = 101   | 112   | Not Cyclic 
  a = 64   b = 82   p = 101   | 95    |  (0, 53)   
  a = 65   b = 82   p = 101   | 112   |  (1, 42)   
  a = 66   b = 82   p = 101   | 99    |  (0, 53)   
  a = 67   b = 82   p = 101   | 88    | Not Cyclic 
  a = 68   b = 82   p = 101   | 116   |  (0, 53)   
  a = 69   b = 82   p = 101   | 95    |  (3, 66)   
  a = 70   b = 82   p = 101   | 114   |  (0, 53)   
  a = 71   b = 82   p = 101   | 91    |  (0, 53)   
  a = 72   b = 82   p = 101   | 114   |  (0, 53)   
  a = 73   b = 82   p = 101   | 88    |  (0, 53)   
  a = 74   b = 82   p = 101   | 108   |  (1, 37)   
  a = 75   b = 82   p = 101   | 115   |  (0, 53)   
  a = 76   b = 82   p = 101   | 95    |  (0, 53)   
  a = 77   b = 82   p = 101   | 90    |  (3, 80)   
  a = 78   b = 82   p = 101   | 111   |  (0, 53)   
  a = 79   b = 82   p = 101   | 105   |  (4, 19)   
  a = 80   b = 82   p = 101   | 120   |  (8, 27)   
  a = 81   b = 82   p = 101   | 108   | Not Cyclic 
  a = 82   b = 82   p = 101   | 105   |  (4, 26)   
  a = 83   b = 82   p = 101   | 85    |  (0, 53)   
  a = 84   b = 82   p = 101   | 98    |  (4, 52)   
  a = 85   b = 82   p = 101   | 112   |  (14, 28)  
  a = 86   b = 82   p = 101   | 96    | Not Cyclic 
  a = 87   b = 82   p = 101   | 117   |  (0, 53)   
  a = 88   b = 82   p = 101   | 108   |  (0, 53)   
  a = 89   b = 82   p = 101   | 102   |  (6, 78)   
  a = 90   b = 82   p = 101   | 112   | Not Cyclic 
  a = 91   b = 82   p = 101   | 102   |  (5, 37)   
  a = 92   b = 82   p = 101   | 87    |  (4, 98)   
  a = 93   b = 82   p = 101   | 91    |  (0, 53)   
  a = 94   b = 82   p = 101   | 98    |  (3, 54)   
  a = 95   b = 82   p = 101   | 99    |  (0, 53)   
  a = 96   b = 82   p = 101   | 105   |  (0, 53)   
  a = 97   b = 82   p = 101   | 110   |  (2, 53)   
  a = 98   b = 82   p = 101   | 108   |  (0, 53)   
  a = 99   b = 82   p = 101   | 92    | Not Cyclic 
  a = 100  b = 82   p = 101   | 108   | Not Cyclic 
  a = 0    b = 83   p = 101   | 102   |  (1, 36)   
  a = 1    b = 83   p = 101   | 96    |  (12, 56)  
  a = 2    b = 83   p = 101   | 104   |  (4, 16)   
  a = 3    b = 83   p = 101   | 94    |  (1, 84)   
  a = 4    b = 83   p = 101   | 114   |  (8, 18)   
  a = 5    b = 83   p = 101   | 100   |  (10, 27)  
  a = 6    b = 83   p = 101   | 108   | Not Cyclic 
  a = 7    b = 83   p = 101   | 92    | Not Cyclic 
  a = 8    b = 83   p = 101   | 90    |  (2, 39)   
  a = 9    b = 83   p = 101   | 96    | Not Cyclic 
  a = 10   b = 83   p = 101   | 92    | Not Cyclic 
  a = 11   b = 83   p = 101   | 112   | Not Cyclic 
  a = 12   b = 83   p = 101   | 101   |  (1, 46)   
  a = 13   b = 83   p = 101   | 118   |  (9, 90)   
  a = 14   b = 83   p = 101   | 92    |  (5, 51)   
  a = 15   b = 83   p = 101   | 102   |  (5, 92)   
  a = 16   b = 83   p = 101   | 121   |  (1, 91)   
  a = 17   b = 83   p = 101   | 120   | Not Cyclic 
  a = 18   b = 83   p = 101   | 90    |  (9, 60)   
  a = 19   b = 83   p = 101   | 90    |  (7, 16)   
  a = 20   b = 83   p = 101   | 99    |  (2, 63)   
  a = 21   b = 83   p = 101   | 96    |  (10, 92)  
  a = 22   b = 83   p = 101   | 94    |  (1, 56)   
  a = 23   b = 83   p = 101   | 84    |  (2, 95)   
  a = 24   b = 83   p = 101   | 102   |  (3, 92)   
  a = 25   b = 83   p = 101   | 87    |  (4, 34)   
  a = 26   b = 83   p = 101   | 107   |  (1, 98)   
  a = 27   b = 83   p = 101   | 99    |  (7, 98)   
  a = 29   b = 83   p = 101   | 93    |  (3, 46)   
  a = 30   b = 83   p = 101   | 88    |  (4, 60)   
  a = 31   b = 83   p = 101   | 114   |  (24, 39)  
  a = 32   b = 83   p = 101   | 108   | Not Cyclic 
  a = 33   b = 83   p = 101   | 105   |  (2, 37)   
  a = 34   b = 83   p = 101   | 107   |  (1, 44)   
  a = 35   b = 83   p = 101   | 116   | Not Cyclic 
  a = 36   b = 83   p = 101   | 94    |  (3, 97)   
  a = 37   b = 83   p = 101   | 101   |  (1, 90)   
  a = 38   b = 83   p = 101   | 111   |  (3, 27)   
  a = 39   b = 83   p = 101   | 88    |  (1, 27)   
  a = 40   b = 83   p = 101   | 112   |  (1, 86)   
  a = 41   b = 83   p = 101   | 105   |  (1, 78)   
  a = 42   b = 83   p = 101   | 89    |   (1, 5)   
  a = 43   b = 83   p = 101   | 106   |  (3, 80)   
  a = 44   b = 83   p = 101   | 113   |  (2, 52)   
  a = 45   b = 83   p = 101   | 102   |  (4, 78)   
  a = 46   b = 83   p = 101   | 86    |  (9, 69)   
  a = 47   b = 83   p = 101   | 106   |  (1, 63)   
  a = 48   b = 83   p = 101   | 108   |  (4, 95)   
  a = 49   b = 83   p = 101   | 112   |  (5, 94)   
  a = 50   b = 83   p = 101   | 100   | Not Cyclic 
  a = 51   b = 83   p = 101   | 114   |  (6, 91)   
  a = 52   b = 83   p = 101   | 109   |   (3, 8)   
  a = 53   b = 83   p = 101   | 116   |  (1, 95)   
  a = 54   b = 83   p = 101   | 99    |  (6, 44)   
  a = 55   b = 83   p = 101   | 102   |  (11, 91)  
  a = 56   b = 83   p = 101   | 96    | Not Cyclic 
  a = 57   b = 83   p = 101   | 95    |  (3, 68)   
  a = 58   b = 83   p = 101   | 100   |  (8, 94)   
  a = 59   b = 83   p = 101   | 98    |  (3, 40)   
  a = 60   b = 83   p = 101   | 90    |  (2, 98)   
  a = 61   b = 83   p = 101   | 108   | Not Cyclic 
  a = 62   b = 83   p = 101   | 110   |  (1, 34)   
  a = 63   b = 83   p = 101   | 111   |  (4, 46)   
  a = 64   b = 83   p = 101   | 113   |  (1, 42)   
  a = 65   b = 83   p = 101   | 84    |  (24, 69)  
  a = 66   b = 83   p = 101   | 102   |  (1, 94)   
  a = 67   b = 83   p = 101   | 96    |  (6, 87)   
  a = 68   b = 83   p = 101   | 104   | Not Cyclic 
  a = 69   b = 83   p = 101   | 120   | Not Cyclic 
  a = 70   b = 83   p = 101   | 85    |  (4, 86)   
  a = 71   b = 83   p = 101   | 105   |  (1, 16)   
  a = 72   b = 83   p = 101   | 120   |  (2, 29)   
  a = 73   b = 83   p = 101   | 99    |  (1, 37)   
  a = 74   b = 83   p = 101   | 87    |  (2, 80)   
  a = 75   b = 83   p = 101   | 109   |  (1, 19)   
  a = 76   b = 83   p = 101   | 93    |  (4, 42)   
  a = 77   b = 83   p = 101   | 87    |  (7, 37)   
  a = 78   b = 83   p = 101   | 99    |  (2, 34)   
  a = 79   b = 83   p = 101   | 96    | Not Cyclic 
  a = 80   b = 83   p = 101   | 92    | Not Cyclic 
  a = 81   b = 83   p = 101   | 104   | Not Cyclic 
  a = 82   b = 83   p = 101   | 92    |  (1, 60)   
  a = 83   b = 83   p = 101   | 91    |  (5, 44)   
  a = 84   b = 83   p = 101   | 87    |  (4, 68)   
  a = 85   b = 83   p = 101   | 88    |   (6, 1)   
  a = 86   b = 83   p = 101   | 116   | Not Cyclic 
  a = 87   b = 83   p = 101   | 109   |  (1, 26)   
  a = 88   b = 83   p = 101   | 92    |  (1, 24)   
  a = 89   b = 83   p = 101   | 106   |  (5, 42)   
  a = 90   b = 83   p = 101   | 102   |  (9, 39)   
  a = 91   b = 83   p = 101   | 97    |  (2, 24)   
  a = 92   b = 83   p = 101   | 96    |  (6, 12)   
  a = 93   b = 83   p = 101   | 90    |  (18, 69)  
  a = 94   b = 83   p = 101   | 84    |  (15, 90)  
  a = 95   b = 83   p = 101   | 115   |  (1, 52)   
  a = 96   b = 83   p = 101   | 100   |  (5, 53)   
  a = 97   b = 83   p = 101   | 92    |  (13, 39)  
  a = 98   b = 83   p = 101   | 96    |  (1, 92)   
  a = 99   b = 83   p = 101   | 119   |  (2, 84)   
  a = 100  b = 83   p = 101   | 117   |  (12, 53)  
  a = 0    b = 84   p = 101   | 102   |  (2, 71)   
  a = 1    b = 84   p = 101   | 91    |  (0, 36)   
  a = 2    b = 84   p = 101   | 105   |  (0, 36)   
  a = 3    b = 84   p = 101   | 107   |  (0, 36)   
  a = 4    b = 84   p = 101   | 105   |  (2, 91)   
  a = 5    b = 84   p = 101   | 84    | Not Cyclic 
  a = 6    b = 84   p = 101   | 100   | Not Cyclic 
  a = 7    b = 84   p = 101   | 91    |  (0, 36)   
  a = 8    b = 84   p = 101   | 112   | Not Cyclic 
  a = 9    b = 84   p = 101   | 99    |  (2, 98)   
  a = 10   b = 84   p = 101   | 97    |  (0, 36)   
  a = 11   b = 84   p = 101   | 108   |  (1, 46)   
  a = 12   b = 84   p = 101   | 96    | Not Cyclic 
  a = 13   b = 84   p = 101   | 102   |  (11, 12)  
  a = 14   b = 84   p = 101   | 112   |  (7, 90)   
  a = 15   b = 84   p = 101   | 90    |  (2, 18)   
  a = 16   b = 84   p = 101   | 112   |  (3, 19)   
  a = 17   b = 84   p = 101   | 105   |  (0, 36)   
  a = 18   b = 84   p = 101   | 99    |  (0, 36)   
  a = 19   b = 84   p = 101   | 90    |  (0, 36)   
  a = 20   b = 84   p = 101   | 100   | Not Cyclic 
  a = 21   b = 84   p = 101   | 90    |  (10, 53)  
  a = 22   b = 84   p = 101   | 89    |  (0, 36)   
  a = 23   b = 84   p = 101   | 104   |  (0, 36)   
  a = 24   b = 84   p = 101   | 108   |  (0, 36)   
  a = 25   b = 84   p = 101   | 116   |  (0, 36)   
  a = 26   b = 84   p = 101   | 96    |  (5, 95)   
  a = 27   b = 84   p = 101   | 92    | Not Cyclic 
  a = 28   b = 84   p = 101   | 95    |  (4, 19)   
  a = 29   b = 84   p = 101   | 93    |  (6, 26)   
  a = 30   b = 84   p = 101   | 108   |  (3, 91)   
  a = 31   b = 84   p = 101   | 120   |  (9, 53)   
  a = 33   b = 84   p = 101   | 108   |  (0, 36)   
  a = 34   b = 84   p = 101   | 102   |  (4, 53)   
  a = 35   b = 84   p = 101   | 114   |  (0, 36)   
  a = 36   b = 84   p = 101   | 112   |  (0, 36)   
  a = 37   b = 84   p = 101   | 102   |  (1, 18)   
  a = 38   b = 84   p = 101   | 114   |  (0, 36)   
  a = 39   b = 84   p = 101   | 84    |  (8, 91)   
  a = 40   b = 84   p = 101   | 88    | Not Cyclic 
  a = 41   b = 84   p = 101   | 85    |  (0, 36)   
  a = 42   b = 84   p = 101   | 94    |  (0, 36)   
  a = 43   b = 84   p = 101   | 117   |  (5, 90)   
  a = 44   b = 84   p = 101   | 98    |   (5, 5)   
  a = 45   b = 84   p = 101   | 95    |  (0, 36)   
  a = 46   b = 84   p = 101   | 102   |  (0, 36)   
  a = 47   b = 84   p = 101   | 108   | Not Cyclic 
  a = 48   b = 84   p = 101   | 115   |  (0, 36)   
  a = 49   b = 84   p = 101   | 104   |  (1, 29)   
  a = 50   b = 84   p = 101   | 84    | Not Cyclic 
  a = 51   b = 84   p = 101   | 96    | Not Cyclic 
  a = 52   b = 84   p = 101   | 104   |  (0, 36)   
  a = 53   b = 84   p = 101   | 106   |  (2, 81)   
  a = 54   b = 84   p = 101   | 110   |  (13, 16)  
  a = 55   b = 84   p = 101   | 88    | Not Cyclic 
  a = 56   b = 84   p = 101   | 92    |  (0, 36)   
  a = 57   b = 84   p = 101   | 103   |  (0, 36)   
  a = 58   b = 84   p = 101   | 111   |  (0, 36)   
  a = 59   b = 84   p = 101   | 116   |  (0, 36)   
  a = 60   b = 84   p = 101   | 100   |  (6, 16)   
  a = 61   b = 84   p = 101   | 102   |  (9, 94)   
  a = 62   b = 84   p = 101   | 111   |  (0, 36)   
  a = 63   b = 84   p = 101   | 114   |  (2, 97)   
  a = 64   b = 84   p = 101   | 108   | Not Cyclic 
  a = 65   b = 84   p = 101   | 114   |  (0, 36)   
  a = 66   b = 84   p = 101   | 113   |  (0, 36)   
  a = 67   b = 84   p = 101   | 118   |  (6, 46)   
  a = 68   b = 84   p = 101   | 108   | Not Cyclic 
  a = 69   b = 84   p = 101   | 105   |  (0, 36)   
  a = 70   b = 84   p = 101   | 110   |  (0, 36)   
  a = 71   b = 84   p = 101   | 87    |  (3, 18)   
  a = 72   b = 84   p = 101   | 93    |  (0, 36)   
  a = 73   b = 84   p = 101   | 97    |  (0, 36)   
  a = 74   b = 84   p = 101   | 102   |  (7, 95)   
  a = 75   b = 84   p = 101   | 88    |  (0, 36)   
  a = 76   b = 84   p = 101   | 83    |  (0, 36)   
  a = 77   b = 84   p = 101   | 112   | Not Cyclic 
  a = 78   b = 84   p = 101   | 98    |  (12, 18)  
  a = 79   b = 84   p = 101   | 96    | Not Cyclic 
  a = 80   b = 84   p = 101   | 119   |  (0, 36)   
  a = 81   b = 84   p = 101   | 99    |  (0, 36)   
  a = 82   b = 84   p = 101   | 112   |  (2, 16)   
  a = 83   b = 84   p = 101   | 114   |  (9, 34)   
  a = 84   b = 84   p = 101   | 120   |  (4, 79)   
  a = 85   b = 84   p = 101   | 95    |  (0, 36)   
  a = 86   b = 84   p = 101   | 104   |  (0, 36)   
  a = 87   b = 84   p = 101   | 86    |  (1, 24)   
  a = 88   b = 84   p = 101   | 117   |  (0, 36)   
  a = 89   b = 84   p = 101   | 92    |  (12, 31)  
  a = 90   b = 84   p = 101   | 110   |  (10, 60)  
  a = 91   b = 84   p = 101   | 108   |  (0, 36)   
  a = 92   b = 84   p = 101   | 116   |  (0, 36)   
  a = 93   b = 84   p = 101   | 120   |  (13, 37)  
  a = 94   b = 84   p = 101   | 109   |  (0, 36)   
  a = 95   b = 84   p = 101   | 105   |  (1, 68)   
  a = 96   b = 84   p = 101   | 117   |  (0, 36)   
  a = 97   b = 84   p = 101   | 98    |  (0, 36)   
  a = 98   b = 84   p = 101   | 112   | Not Cyclic 
  a = 99   b = 84   p = 101   | 117   |  (3, 99)   
  a = 100  b = 84   p = 101   | 103   |  (0, 36)   
  a = 0    b = 85   p = 101   | 102   |  (8, 71)   
  a = 1    b = 85   p = 101   | 120   |  (2, 87)   
  a = 2    b = 85   p = 101   | 111   |  (0, 40)   
  a = 3    b = 85   p = 101   | 120   |  (5, 86)   
  a = 4    b = 85   p = 101   | 104   |  (0, 40)   
  a = 5    b = 85   p = 101   | 110   |  (4, 88)   
  a = 6    b = 85   p = 101   | 95    |  (0, 40)   
  a = 7    b = 85   p = 101   | 90    |  (2, 39)   
  a = 8    b = 85   p = 101   | 102   |  (0, 40)   
  a = 9    b = 85   p = 101   | 112   | Not Cyclic 
  a = 10   b = 85   p = 101   | 91    |  (0, 40)   
  a = 11   b = 85   p = 101   | 114   |  (0, 40)   
  a = 12   b = 85   p = 101   | 105   |  (0, 40)   
  a = 13   b = 85   p = 101   | 103   |  (0, 40)   
  a = 14   b = 85   p = 101   | 108   |  (1, 91)   
  a = 15   b = 85   p = 101   | 102   |  (3, 37)   
  a = 16   b = 85   p = 101   | 116   |  (0, 40)   
  a = 17   b = 85   p = 101   | 89    |  (0, 40)   
  a = 18   b = 85   p = 101   | 106   |  (7, 94)   
  a = 19   b = 85   p = 101   | 120   |  (9, 51)   
  a = 20   b = 85   p = 101   | 112   |  (1, 56)   
  a = 21   b = 85   p = 101   | 95    |  (0, 40)   
  a = 22   b = 85   p = 101   | 83    |  (0, 40)   
  a = 23   b = 85   p = 101   | 100   | Not Cyclic 
  a = 24   b = 85   p = 101   | 102   |  (16, 90)  
  a = 25   b = 85   p = 101   | 108   | Not Cyclic 
  a = 26   b = 85   p = 101   | 117   |  (12, 99)  
  a = 27   b = 85   p = 101   | 93    |  (3, 71)   
  a = 28   b = 85   p = 101   | 100   |  (3, 87)   
  a = 29   b = 85   p = 101   | 108   |  (0, 40)   
  a = 30   b = 85   p = 101   | 90    |  (6, 28)   
  a = 31   b = 85   p = 101   | 104   |  (0, 40)   
  a = 32   b = 85   p = 101   | 114   |  (1, 44)   
  a = 33   b = 85   p = 101   | 102   |  (2, 19)   
  a = 34   b = 85   p = 101   | 98    |  (9, 98)   
  a = 35   b = 85   p = 101   | 88    |  (0, 40)   
  a = 36   b = 85   p = 101   | 84    | Not Cyclic 
  a = 37   b = 85   p = 101   | 112   |  (0, 40)   
  a = 38   b = 85   p = 101   | 118   |  (1, 86)   
  a = 39   b = 85   p = 101   | 112   | Not Cyclic 
  a = 40   b = 85   p = 101   | 95    |   (1, 5)   
  a = 41   b = 85   p = 101   | 116   |  (0, 40)   
  a = 42   b = 85   p = 101   | 110   |  (2, 51)   
  a = 43   b = 85   p = 101   | 100   | Not Cyclic 
  a = 44   b = 85   p = 101   | 96    | Not Cyclic 
  a = 45   b = 85   p = 101   | 112   |  (1, 63)   
  a = 46   b = 85   p = 101   | 96    | Not Cyclic 
  a = 47   b = 85   p = 101   | 117   |  (11, 69)  
  a = 48   b = 85   p = 101   | 102   |  (1, 29)   
  a = 49   b = 85   p = 101   | 105   |  (8, 79)   
  a = 50   b = 85   p = 101   | 114   |  (0, 40)   
  a = 51   b = 85   p = 101   | 113   |  (0, 40)   
  a = 52   b = 85   p = 101   | 98    |  (0, 40)   
  a = 53   b = 85   p = 101   | 92    | Not Cyclic 
  a = 54   b = 85   p = 101   | 111   |  (0, 40)   
  a = 55   b = 85   p = 101   | 92    |  (7, 56)   
  a = 56   b = 85   p = 101   | 90    |  (0, 40)   
  a = 57   b = 85   p = 101   | 84    | Not Cyclic 
  a = 58   b = 85   p = 101   | 99    |  (0, 40)   
  a = 59   b = 85   p = 101   | 108   |  (3, 84)   
  a = 60   b = 85   p = 101   | 94    |  (0, 40)   
  a = 61   b = 85   p = 101   | 97    |  (0, 40)   
  a = 62   b = 85   p = 101   | 107   |  (0, 40)   
  a = 63   b = 85   p = 101   | 102   |  (2, 44)   
  a = 64   b = 85   p = 101   | 114   |  (0, 40)   
  a = 65   b = 85   p = 101   | 117   |  (0, 40)   
  a = 66   b = 85   p = 101   | 96    |  (2, 86)   
  a = 67   b = 85   p = 101   | 103   |  (0, 40)   
  a = 68   b = 85   p = 101   | 117   |  (0, 40)   
  a = 69   b = 85   p = 101   | 99    |  (0, 40)   
  a = 70   b = 85   p = 101   | 104   |  (2, 58)   
  a = 71   b = 85   p = 101   | 119   |  (0, 40)   
  a = 72   b = 85   p = 101   | 97    |  (0, 40)   
  a = 73   b = 85   p = 101   | 85    |  (0, 40)   
  a = 74   b = 85   p = 101   | 93    |  (0, 40)   
  a = 75   b = 85   p = 101   | 105   |  (0, 40)   
  a = 76   b = 85   p = 101   | 108   |  (0, 40)   
  a = 77   b = 85   p = 101   | 108   | Not Cyclic 
  a = 78   b = 85   p = 101   | 105   |  (2, 42)   
  a = 79   b = 85   p = 101   | 116   |  (0, 40)   
  a = 80   b = 85   p = 101   | 92    |  (0, 40)   
  a = 81   b = 85   p = 101   | 86    |  (3, 31)   
  a = 82   b = 85   p = 101   | 105   |  (0, 40)   
  a = 83   b = 85   p = 101   | 115   |  (0, 40)   
  a = 84   b = 85   p = 101   | 96    | Not Cyclic 
  a = 85   b = 85   p = 101   | 99    |  (1, 26)   
  a = 86   b = 85   p = 101   | 88    | Not Cyclic 
  a = 87   b = 85   p = 101   | 87    |  (2, 60)   
  a = 88   b = 85   p = 101   | 91    |  (0, 40)   
  a = 90   b = 85   p = 101   | 114   |  (8, 99)   
  a = 91   b = 85   p = 101   | 109   |  (0, 40)   
  a = 92   b = 85   p = 101   | 108   |  (0, 40)   
  a = 93   b = 85   p = 101   | 88    | Not Cyclic 
  a = 94   b = 85   p = 101   | 104   |  (0, 40)   
  a = 95   b = 85   p = 101   | 112   |  (1, 79)   
  a = 96   b = 85   p = 101   | 108   | Not Cyclic 
  a = 97   b = 85   p = 101   | 98    |  (1, 53)   
  a = 98   b = 85   p = 101   | 112   | Not Cyclic 
  a = 99   b = 85   p = 101   | 84    |  (1, 36)   
  a = 100  b = 85   p = 101   | 110   |  (0, 40)   
  a = 0    b = 86   p = 101   | 102   |  (5, 98)   
  a = 1    b = 86   p = 101   | 96    | Not Cyclic 
  a = 2    b = 86   p = 101   | 95    |  (5, 25)   
  a = 3    b = 86   p = 101   | 116   | Not Cyclic 
  a = 4    b = 86   p = 101   | 118   |   (2, 1)   
  a = 5    b = 86   p = 101   | 96    |  (9, 31)   
  a = 6    b = 86   p = 101   | 85    |  (2, 56)   
  a = 7    b = 86   p = 101   | 108   |  (3, 29)   
  a = 8    b = 86   p = 101   | 107   |  (1, 87)   
  a = 9    b = 86   p = 101   | 114   |  (1, 46)   
  a = 10   b = 86   p = 101   | 91    |  (1, 81)   
  a = 11   b = 86   p = 101   | 108   | Not Cyclic 
  a = 12   b = 86   p = 101   | 88    |  (2, 44)   
  a = 13   b = 86   p = 101   | 120   | Not Cyclic 
  a = 14   b = 86   p = 101   | 100   |  (3, 16)   
  a = 15   b = 86   p = 101   | 87    |   (1, 1)   
  a = 16   b = 86   p = 101   | 109   |   (2, 5)   
  a = 17   b = 86   p = 101   | 88    |  (4, 97)   
  a = 18   b = 86   p = 101   | 90    |  (6, 39)   
  a = 19   b = 86   p = 101   | 109   |  (1, 56)   
  a = 20   b = 86   p = 101   | 84    |   (7, 8)   
  a = 21   b = 86   p = 101   | 106   |  (5, 66)   
  a = 22   b = 86   p = 101   | 96    |  (7, 52)   
  a = 23   b = 86   p = 101   | 117   |  (6, 95)   
  a = 24   b = 86   p = 101   | 99    |  (3, 36)   
  a = 25   b = 86   p = 101   | 96    | Not Cyclic 
  a = 26   b = 86   p = 101   | 107   |  (2, 34)   
  a = 27   b = 86   p = 101   | 101   |  (1, 66)   
  a = 28   b = 86   p = 101   | 97    |  (1, 69)   
  a = 29   b = 86   p = 101   | 120   | Not Cyclic 
  a = 30   b = 86   p = 101   | 106   |  (5, 19)   
  a = 31   b = 86   p = 101   | 87    |  (1, 44)   
  a = 32   b = 86   p = 101   | 94    |  (4, 51)   
  a = 33   b = 86   p = 101   | 92    |  (1, 25)   
  a = 34   b = 86   p = 101   | 90    |  (1, 90)   
  a = 35   b = 86   p = 101   | 111   |  (3, 97)   
  a = 36   b = 86   p = 101   | 121   |  (1, 27)   
  a = 37   b = 86   p = 101   | 115   |  (3, 27)   
  a = 38   b = 86   p = 101   | 99    |  (1, 78)   
  a = 39   b = 86   p = 101   | 114   |  (6, 58)   
  a = 40   b = 86   p = 101   | 93    |  (13, 51)  
  a = 41   b = 86   p = 101   | 92    | Not Cyclic 
  a = 42   b = 86   p = 101   | 116   | Not Cyclic 
  a = 43   b = 86   p = 101   | 113   |  (2, 68)   
